snr_db,frequency_separation_mape,symbol_count_accuracy,bpsk_code_accuracy,fsk_code_accuracy
0,7.61567399269771,0.9444444444444444,0.8975694444444444,0.9444444444444444
1,0.18453353754001078,1.0,0.9774305555555556,1.0
2,0.13867927196333452,1.0,0.953125,1.0
3,8.377059862110992,0.9444444444444444,0.9444444444444444,0.9444444444444444
4,12.85645449645921,0.9444444444444444,0.9444444444444444,0.9444444444444444
5,0.10844928676222151,1.0,1.0,1.0
6,0.08800610996988661,1.0,1.0,1.0
7,0.04914963834253554,1.0,1.0,1.0
8,0.06875194279813761,1.0,1.0,1.0
9,0.059358404533341166,1.0,1.0,1.0
10,0.06359636996707155,1.0,1.0,1.0
