snr_db,fc_mae_hz,bw_mape_percent,k_mape_percent,direction_accuracy
0,336.1498746378897,0.05979592107335861,0.05979592107335795,1.0
1,444.1091537769987,0.039070493087315736,0.039070493087314945,1.0
2,236.01970081162614,0.05530502675261326,0.05530502675261141,1.0
3,211.22922966907694,0.04739830742415379,0.04739830742415271,1.0
4,216.85502911610658,0.04597744184274535,0.045977441842744764,1.0
5,243.21797867637684,0.021261853117739437,0.02126185311773712,1.0
6,216.48697871803435,0.020306074497919605,0.02030607449792141,1.0
7,224.97305609455282,0.03569685128023071,0.03569685128023276,1.0
8,265.5038048275876,0.017840297160805978,0.01784029716080512,1.0
9,182.85218979946998,0.026115528430476626,0.026115528430477333,1.0
10,250.06907812293503,0.024893032621790177,0.0248930326217919,1.0
